airline,overall,author,review_date,customer_review,aircraft,traveller_type,cabin,route,date_flown,Safety_factor,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended
Turkish Airlines,1,Nirjal Shrestha,16th April 2019,"Ã¢Å“â€¦ Trip Verified | Kathmandu to Berlin via Istanbul. Their service is worst because they usually overbook the flight and it was like first come first serve basis and airport staff donÃ¢â‚¬â„¢t even listen the customer request. They treat people like they are doing favor to them. Flight often delayed by 2- 4 hours and they donÃ¢â‚¬â„¢t care about your connecting flight. In my return flight after issuing boarding pass, my seat plan was changed without any notice and in flight entertainment system is damaged and it was 9 hours long flight. I have requested several times but they donÃ¢â‚¬â„¢t care and donÃ¢â‚¬â„¢t give attention to the passengers request.",,Business,Economy Class,Kathmandu to Berlin via Istanbul,Apr-19,1,1,1,1,1,1,no
Turkish Airlines,10,P Bartinescu,15th April 2019,"Ã¢Å“â€¦ Trip Verified | Montreal to Bucharest via Istanbul. Delicious food, great choice of beverages. Cabin crew kind and careful. I would choose Turkish again and can recommend them.",A330,Couple Leisure,Business Class,Montreal to Bucharest via Istanbul,Apr-19,5,5,5,5,5,5,yes
Turkish Airlines,5,C Burtano,13th April 2019,"Ã¢Å“â€¦ Trip Verified | Istanbul to Vienna. Another ordinary fight by Turkish Airlines. Food excellent, but as always there's a mess with a queue when boarding process. This airline really has to strict about the rules to all customer, as my experiences this is the worst airline for boarding process.",,Solo Leisure,Business Class,Istanbul to Vienna,Apr-19,2,4,5,3,2,3,no
Turkish Airlines,1,L Kaladri,11th April 2019,"Ã¢Å“â€¦ Trip Verified | Atlanta to Amman via Istanbul. Beside being one of the filthiest airport bathrooms and cheap of course for not making it easy to use the Wi-Fi, they make us wait 5 more hours in the transit just because they can fill up the plane by merging another plane for people who are going to Amman without giving us any notice! And after waiting hours now to check-in online, now they saying check-in at the counter. Bad food on the plane, bad select of movies and entertainments and of course bad customer service in the airport.",,Solo Leisure,Economy Class,Atlanta to Amman via Istanbul,Mar-19,1,3,3,2,1,1,no
Turkish Airlines,9,W Keale,11th April 2019,"Ã¢Å“â€¦ Trip Verified | Manchester to Bangkok via Istanbul return in the last month. All flights were on time. Excellent food and drink service. Lovely staff and a smile on their faces. Great airline, cheap prices, excellent service.",A330,Solo Leisure,Economy Class,Istanbul to Manchester,Apr-19,4,5,4,4,4,5,yes
Turkish Airlines,1,Pranay Rao,6th April 2019,"Not Verified | Mumbai to Istanbul. One of the worst experiences of our life has been this trip on Turkish Airlines. After booking a confirmed flight on 6th April we were offered one in which the connecting flight leaves 2 days earlier than we land. Thankfully we didn't select this by mistake. Then we were given a new itinerary which needed us staying overnight at Istanbul. We were then given a hotel room outside the airport which needed us to spend 220 USD on an express visa to enter Turkey plus an additional 100 USD on travel. The airline doesn't give you rooms in the airport, which turns out to be more expensive for the passenger as there is no proper public transport to our hotel room and Turkish won't pay for it. To make matters worse today the check in doesn't work and they've told us we need to reach early to the airport if we need good seats. Avoid this airline for its terrible customer service.",,Couple Leisure,Economy Class,Mumbai to Istanbul,Apr-19,1,1,1,1,1,1,no
Turkish Airlines,6,R Banturno,6th April 2019,"Ã¢Å“â€¦ Trip Verified | Prague to Istanbul. Just ordinary fight served by Turkish Airlines. Food excellent, but as always there's a mess with a queue when boarding process. This Airline really has to strict about the rules to all customer, as my experiences this is the worst airline for boarding process.",,Business,Business Class,Prague to Istanbul,Apr-19,3,4,5,3,1,4,yes
Turkish Airlines,2,S Raesen,2nd April 2019,"Ã¢Å“â€¦ Trip Verified | Amsterdam to Bangkok via Istanbul. I wont book again after the conditions I flew in. Food: tasty. Over the average for an airline. In-flight entertainment: large variety of movies. Cabin crew: negligent and sloppy, to a frustrating level. So many episodes where they disregarded very simple requests from passengers or (worse) caused problems due to their disorganization. Gate crew: at the check-in I chose a spot that would allow me to easily access the bathroom, that I need for medical reasons. At the gate the seat got striked through and I have been re-assigned, no explanations provided. When I asked for the seat to be changed to an aisle seat, I have been told by the cabin crew to temporarily sit on the assigned seat. After take-off, my request got ignored for the whole flight, regardless many seats were empty. Seats extremely unconfortable and impossible to sleep in (very old plane for a 10h flight). Mine was even broken so I could not sleep at all. Food service: chaotic to the point that some people started to serve themselves due to the fact that their requests were disregarded or forgotten. Overall a very bad experience that leaves me confused at how this company won any awards. At first I also gave it the benefit of the doubt that's why I waited to write the review but the return flight confirmed all the negligent behaviors I saw on the departure flight. Other airlines offer very similar prices and the cons don't make up for the flight conditions you will experience.",,Solo Leisure,Economy Class,Amsterdam to Bangkok via Istanbul,Mar-19,1,1,5,5,1,1,no
Turkish Airlines,1,Tomas Gubas,2nd April 2019,"Ã¢Å“â€¦ Trip Verified | Venice to Ankara via Istanbul. Instead of taking off on time the fight was originally delayed (on the information table was written 10 minutes). I was satisfied with the information (it is possible to be delayed). The next information which followed invited us to go to the gate. More than 75% of passengers created the line in front of the desk and we were waiting for opening the gate. It was the first mistake, after 45 minutes the staff changed the departure time on the information desk for 10.50 a.m. Nobody knew that the game was started. The plane was delayed by more than 60 minutes. It is usually that the staff will give you any additional information about the connection flights. Unfortunately, it is not the case of Turkish Airlines . After the arrival, I run from the plane through the tunnel in the terminal and hoped to catch the flight to Ankara. The guy who was wearing the TA uniform and who was waiting at the end of the tunnel showed me the direction where I should have found the gate of for my flight. Of course, it was the wrong direction and I had to run back. After that, I had to go through the x-ray frame and I have lost another 10 minutes although I didn't leave the secured area. When I came into the main hall I sew that the gate is closed. Until this moment nobody has apologized for the inconvenience and to this day too. This horror trip was still not at the end. I tried to find the TA office and I found only the TA desk where was it possible to buy new tickets. When I started to explain my situation and the guy behind the desk recognised that I am not a new potential customer his face expression changed rapidly and his bored voice said to me that he is not responsible for information. The problem was closed for him. After a few minutes, I found the desk with the logo TA in the check-in sections. I run there to solve the problem and I tried to inform the first staff about my situation. His answer was: ""Wait a minute"".. I didn't want to wait and I said to him, that his company is responsible for the situation and I expect more empathy and full service for customers. No answer, only disgusted reaction visible in his mimic and he showed me with the finger another TA worker sitting next to him. This person let explain to him my situation again and he printed a new boarding pass for the flight at 6.00 p.m. I checked the departure on the screen and by my next flight was additional information that it is delayed 40 minutes before the departure. I asked the guy again whether it is mean serious and my second question was why it is not possible to get the ticket for the flight at 5.00 p.m.? The answer was given with the highest arrogance in his voice.""The flight is full!"". And it is still not the end of the troubles, instead of being delayed 40 minutes the ""great"" TA let me wait one hour longer in comparison with original departure schedule. The service was the mess and the behaviour of the employees was everything but not professional.",,Solo Leisure,Economy Class,Venice to Ankara via Istanbul,Mar-19,3,1,3,,1,1,no
Turkish Airlines,6,J Ngui,30th March 2019,"Ã¢Å“â€¦ Trip Verified | Currently on flight Singapore to Ã„Â°stanbul, sadly been trying to get a drink and was told later, trolley came by serving coffee. FA told me that now coffee service, they have drinks round, first was drinks, food, coffee and drinks later. I had observed others got their drinks when they ordered randomly. I seem to get the response what their process of service is, and I have to adhere to that, even if I was asleep. The drinks trolley service came by and the same FA who told me Ã¢â‚¬ËœoffÃ¢â‚¬â„¢ remembered what drinks I had asked and served me. Such a hassle to get a drink because I asked for it out of their sequence. With only twelve hours I guess they are too busy to give much care to passengers.. Sad.",Boeing 777-300,Business,Economy Class,Singapore to Ã„Â°stanbul,Mar-19,4,3,4,5,5,4,yes
Turkish Airlines,1,Jaylesh Gandhi,28th March 2019,"Ã¢Å“â€¦ Trip Verified | Flew TK 5 / 22 MAR, Istanbul - Chicago in business class. Had requested AVML (Asian vegetarian Meal). TK had forgotten my special AVML meal. On board they served boiled eggplant, tomato sauce and disgusting rice as THE main course. I refused to eat and returned my plate. No alternative food offered. I spoke to the cabin chief who expressed she was sorry and agreed that the meal served was not even close to AVML. Spoke to the chef on board who had no clue what AVML looks like. Starved for 12 hour flight. Cabin chief and the chef promised they would report this incident but it seems it did not go anywhere. I am an Elite Plus member of Turkish Airlines and it seems they do not care about their premium cabin passengers. Surprisingly cabin chief is TK's employee and the chef are employed by DO & CO catering company who provided meals for TK's passengers. Complained about the incident and response I got was we regret and no compensations given. It will be hard to choose TK for future travel.",Boeing 777-300ER,Solo Leisure,Business Class,Istanbul to Chicago,Mar-19,4,1,1,3,1,1,no
Turkish Airlines,1,Andrei Muravev,20th March 2019,"Ã¢Å“â€¦ Trip Verified | I bought and paid tickets 3 months before departure. I had pre-selected certain seats convenient to us. I am a self-moving disabled person. I have no leg, I move on a prosthesis. The choice of a comfortable place is important for my sick leg. When I flying from Hurghada Ã¢â‚¬â€œ at the reception manager not given our pre-selected seats. He give to me uncomfortable seats in the tail of the aircraft, although I chose a seats for 4 months before departure. Turkish Airlines does not have Internet check-in when passengers departing from Hurghada. At the check-in Desk, the Manager issues boarding passes at random, not paying attention to the pre-selected seats in our tickets. 2. Indifference flight attendants In the plane, I ask for 2 flight attendants and explained the essence of the problem, said about my disability, showed my ticket. The flight attendants answered me: Ã¢â‚¬Å“The plane is full. I can't help you, sorryÃ¢â‚¬Â The flight attendants were absolutely indifferent to my problems, they did not want to help me. 3. Stuff indifference at Ataturk Airport. Upon arrival in Istanbul, I had a connection time at the airport: 3: 20 - with our next flight to Vnukovo, Moscow. I was very tired, I had a pain in my leg, and I turned to the Info desk to ask the managers to let me rest for a short time in the lounges of Turkish Airlines. I said that I was disabled, I asked for help. In response, I received complete indifference, unwillingness to help me. The manager refused me any help, despite my repeated requests for help. I have not seen anywhere such a bad attitude, indifference to the disabled person in my air travels! 3. Problem with pre-ordered special meals When I buying tickets, my wife and I ordered Bland meal (BLML) and Diabetic meal (DBML) We always order in flights these types of food for our medical reasons. In all the airlines that we flew this food is much better than the standard meal. But in the case of Turkish Airlines, our special meal was simply inedible. This special meal given to us looked much worse than the standard nutrition. We just could not eat anything and flew hungry all our flights Ã¢â‚¬â€œ in two ways! I remember that in my meal there was a lot of fiber, which I cannot eat. This is incompatible with the concept of the Bland meal (BLML) diet.",Boeing 737-800,Couple Leisure,Economy Class,Hurghada to Moscow via Istanbul,Apr-18,2,1,1,3,2,2,no
Turkish Airlines,6,S Railey,13th March 2019,"Ã¢Å“â€¦ Trip Verified | Manila to Istanbul. If you ever flew with Emirates or Qatar Airways, you will miss their service if you fly Turkish Airlines. I only saw the crew, when they served meal after departure, before Arrival and running around from the front to the back and vice versa. Never offered Drinks or Snacks. Water for an almost 13 hour flight is essential, but was never offered.",Boeing 777-300ER,Family Leisure,Economy Class,Manila to Istanbul,Jan-19,4,3,3,5,3,4,no
Turkish Airlines,1,Masudur Rahman,13th March 2019,"Ã¢Å“â€¦ Trip Verified | Dhaka to Copenhagen via Istanbul. This trip was full of disappointments. Already the airport lounge, Dhaka, demanded money for a glass of wine, unheard. I am a frequent flyer, I have never experienced business class lounge charging a business class passenger, for a glass of wine. Next, on board, no welcome drinks. I asked for a newspaper and a drink, the choice was a glass of water or a lemonade. After take-off, no beverage and snacks, just the meal, which was disgusting. My choice was beef, which was cold, dry, served with some bean and carrots, also cold. I asked for a glass of red wine, but waiting and waiting, I tried to draw the attention of a crew, who was talking with another passenger in the front row. Then I had to get up went where he was enjoying a conversation with the passenger. I made my request- I got served a glass of wine-. I expressed my gratitude- and the crew explained the delay- he had to take care of a CIP. The meal was eatabel, so asked for a cup of coffee and a glass of cognac. Surprise- the crew said there was no cognac. I showed the menu, which showed cognac was available. Well, had almost 6hours layover at Istanbul airport lounge, which was OK. About 90 minutes prior to board, we were asked to go the the gate. After completion of checking tickets and passports, we were waiting to board- almost 45 minutes had to wait and then bus to the plain. The flight was on way to Copenhagen. There were a grpoup of Danish passengers,. A elderly gentleman asked for lass of cognac, the crew was about to serve a generous glass of cognac. Another female crew rushed and snatched the glass, poured half of the content to another glass and then served the guest. We had a laugh- that was entertaining.- but not convincing for making Turkish Airline the choice any more.",A340 / Boeing 737,Solo Leisure,Business Class,Dhaka to Copenhagen via Istanbul,Feb-19,2,1,1,2,2,1,no
Turkish Airlines,1,Oscar Marcheggiani,13th March 2019,"Ã¢Å“â€¦ Trip Verified | Hanoi to Milano via Istanbul. As we 4 arrived this morning from Hanoi at 6 am (TK168) we learned that our connecting flight to Milan TK1873 had been cancelled. No assistance was given to passengers, everybody had to wander around the immense airport, address the numerous TK people behind desks each of whom seemed to take care of anything but customer service and only care to dispatch people somewhere else. Finally we got to the right desk and were given the TK flight leaving at 16.15, 10 hours waiting time. We were assured this was the first possibility open. To our surprise we discovered that there is a previous flight leaving at 12.45 with seats available. Hundreds of people crowded at the desk with only 2 employees working so we gave up trying to anticipate our flight, and no contact was possible on the phone.",A330,Business,Economy Class,Hanoi to Milano via Istanbul,Mar-19,1,1,2,1,1,2,no
Turkish Airlines,4,Sebastian Pietzsch,12th March 2019,"Not Verified | Boarding totally chaotic and far too long. Nice meal, creepy safety video which distracted the people more than giving them advice. Crew notifications (strong turkish accent, sound quality) hardly understandable, even for native speakers. Economy legroom and seat width did not at all suit the flight duration on the first flight from Phuket to Istanbul (11 hours), more equal to short-distance low costers. (disclaimer: I had a seat at an emergency exit, luckily). WiFi did not work for me and others at all, for some more expensive devices it did, but very slowly (asked my neighbours and staff for help, but no way to get it working). Very expensive seat pre-selection (160+30Ã¢â€šÂ¬ for a 400Ã¢â€šÂ¬ flight), so I did not take it and was lucky at the airport check-in.",A330-300,Solo Leisure,Economy Class,Phuket to DÃƒÂ¼sseldorf via Istanbul AtatÃƒÂ¼rk,Mar-19,2,3,5,4,2,3,no
Turkish Airlines,10,EY Genis,11th March 2019,"Ã¢Å“â€¦ Trip Verified | Ankara to Istanbul. Although there was no IFE in this version of 737-800, it is a flight that takes less than an hour. Seat pitch and comfort was probably best I have seen in a 737-800. A delicious short-haul panini and drinks deserve the points.",Boeing 737-800,Couple Leisure,Economy Class,Ankara to Istanbul,Mar-19,5,5,5,,5,5,yes
Turkish Airlines,8,EY Genis,10th March 2019,"Ã¢Å“â€¦ Trip Verified | If you fly economy with an A330-300 of Turkish Airlines, be prepared for a problematic seat pitch. I just could not became friends with the seatings of the majority of wide-body planes of Turkish. Other than that, this was a pleasant flight. Ground service was smooth and friendly - this was a good surprise. Cabin crew may use a little more smiles on their faces but did not experience any major problem on that side. IFE selection and quality is vigorous, one of the best you can encounter anywhere. Meal and drinks are good as always - an above average Chardonnay was a joyful accompany. Thumbs up.",A330-300,Couple Leisure,Economy Class,Amsterdam to Istanbul,Feb-19,2,4,5,5,5,4,yes
Turkish Airlines,9,EY Genis,10th March 2019,Ã¢Å“â€¦ Trip Verified | Istanbul to Ankara. Great short-haul flight. A warm delicious panini was accompanied by a selection of drinks. Turkish's IFE selection was ready in full. Overall a very pleasant flight.,Boeing 737-800,Couple Leisure,Economy Class,Istanbul to Ankara,Feb-19,3,5,5,5,5,5,yes
Turkish Airlines,8,Bobby Giannakopoulos,8th March 2019,Ã¢Å“â€¦ Trip Verified | This was my first time using Turkish Airlines and I was satisfied. Check in at Lyon airport was fine. The flight was full but I managed to find space for my carry on bags. The flight left a bit late. The cabin on board was in good condition and seem to be new. The crew and the service was good. The inflight entertaiment is excellent with a big screen for each sea and a great selection of different type of movies. The meal was tasty and there was a good selection of any type of drinks. The flight went fine but it took more time to land in Ataturk airport because of weather in Istanbul. Turkish airlines is an excellent airline and operates probably to the most countries in the world. I would defently fly again with them if I have a chance,Boeing 737-8M,Solo Leisure,Economy Class,Lyon to Istanbul,Feb-19,4,4,4,5,4,5,yes
Turkish Airlines,4,E Janginen,5th March 2019,"Ã¢Å“â€¦ Trip Verified | Dublin to Manila via Istanbul. This flight was both a disaster and a nightmare. This incident happened during Istanbul-Manila leg of my flight. Im not sure what happened, but I your ground crew was disorderly and very unwelcoming. The boarding was horrible, flying business is not worth it especially I am queueing with the rest of the passengers. The on board experience was the tipping point. Since last year, I never had problem with my Vegan meal onboard as I make sure to preselect them online. But this flight was a disaster. Not only I made only preselection, I wrote to the menu that I am vegan, and the chef was aware i dont eat cheese as he asked me before flight. When I was served with appetizers, I was curious as they gave me a butter on a small dish. At first, I though it could be vegan as I was given butter previously, but that was on a pack, not this time. I called the head steward and explain my conundrum. The chef came and explained and apologized. They insisted i ordered vegetarian as shown on their records, but I showed my confirmation email that I did preselect Vegan meal. Somewhere something went wrong. I settled for orange juice, and went to sleep. Before landing, the chef gave me a minimal but unbusiness like food. I still appreciate his effort to come up with vegan food.",Boeing 777 300ER,Solo Leisure,Business Class,Dublin to Manila via Istanbul,Feb-19,3,3,1,3,1,2,no
Turkish Airlines,1,Julie Fry,24th February 2019,"Ã¢Å“â€¦ Trip Verified | Never again will I use Turkish Airlines. We booked the ticket to Cape Town from Malaga (via Istanbul) 6 months in advance and chose Turkish due to the more direct route than having to travel to UK/Northern Europe or Middle East. We paid for extra legroom seats on all flights. One hour before leaving for the airport on our outbound date I received a phone call from the Turkish Airlines ticket desk at Malaga Airport to advise that the Istanbul-Malaga (second leg) of our return journey flight had been cancelled. They told us to go to the ticket desk when we arrived and before we checked in to be given options. The options were an 8 hour wait in Istanbul airport for the next flight (no thank you after an 11 hour flight) or the same flights a day later. We opted for the second option of flying on our original flight choices day later. The lady on the desk suggested that we claim afterwards for the extra hotel night and the extra day car hire. She also said that she could not book us the seats we had already paid for and that we should try to ticket desk in cape Town to do this for us. We checked in, we started to board, they got us all on to the air bridge where we stayed for about an hour before being moved back into the terminal. Then we boarded. The flight departed 90 minutes late with no explanation. The staff said that they did not know what the problem was. We arrived in Istanbul with a short connection due to the delay and after being bussed from the plane to the terminal we ran like crazy to get on the flight. We made it but our luggage remained in Istanbul. One case arrived a day later & the second case 2 days later. We collected the first case ourselves (as we thought they were both there) and went to the ticket desk to arrange the seats for the return journey. We had to leave all of our details with them as they were busy and unable to attend to it at the time. I e:mailed the ticket desk and customer services a number of times and each time the mails were returned with a message saying that the inboxes were full and could not accept any further mails. I also made a few phone calls but never managed to get an answer. After about a week I received a call from the ticket desk with an offer of slightly different but acceptable seats. When I told her about the issues I had ben having regarding contacting them she told me that the sales desk were very short staffed and that there actually isnt a customer service unit at all in Cape Town. During this time we were travelling with friends around the Cape and at times were without internet so communications were difficult. I also began the process of trying to claim for the emergency clothing items that we had to buy. I am still trying to complete the electronic form which keeps saying that I am giving wrong information (it doesnt specify what it doesnt like) and I am simply completing each box in order as it request me to do - along with the uploading of the files they request. I have tried to complete this form numerous times and in the beginning with help from the baggage handling company who confirmed that I was completing the form correctly. To this day I am still in communication with Turkish Airlines requesting them to reimburse me. They have refused to reimburse us with the cost of the hotel & car rental and are fobbing me off regarding the clothing cost. I know that I am legally entitled to this so I will continue to press.",Boeing 737-800 / A330-300,Couple Leisure,Economy Class,Malaga to Cape Town via Istanbul,Jan-19,2,2,1,2,1,1,no
Turkish Airlines,4,T Barlin,20th February 2019,"Ã¢Å“â€¦ Trip Verified | Montreal to Berlin via Istanbul. I was mostly disappointed with the services. I flew from Montreal to Istanbul and from the beginning I felt the experience to be flawed. There were some 28 business class seats and I had chosen a seat with direct aisle access. The seat is quite comfortable and large was what I noticed at first. The cabin crew was awful. They congregated at the forward cabin near the bar and watched us settle in. As we were in the middle of winter, passengers all had heavy winter coats. I was seated in row two and could overhear some passengers asking the crew if they could take their coats. I was a bit taken aback by the crews response: ""No, later, later"". Needless to say, I was not going to go out of my way to ask them to take my coat and instead opted to leave it at my seat. The crew members did not offer to take my coat nor my neighbour's at any time during this 9,30 hour flight. We sat in the cabin at our seats with no drinks offered, no water bottle for at least 15 minutes. The crew came by after 15 minutes to offer us a selection of non alcoholic beverages. I declined the drink and was asked if I wanted anything else and I ordered champagne. All drinks during our entire flight were served with no napkin and I thought this to be a bit odd since you get a napkin in Canada even on low cost carriers! Menus were handed out and we were asked for our selection later on. After take off, the service was not well planned. It took a while before any crew member came by and when they did they offered to make our beds! We had just left Montreal at 1045 pm and I suspect this is why they were asking us prior to even taking a drink order! I declined the offer for bedding and informed they that I would be ready for it after dinner. ""Of Course Sir, anything you want"". The response lacked being genuine and I felt the crew was somewhat irked. The service began with handling out a bottle of water, 40 minutes into the flight. We waited another 10 or so minutes and we were asked for drinks. The ""Onboard Chef"" came by to take our food order and this was also done in a chaotic way. He would take the order for 3-5 seats at a time and then disappear. The whole order taking for the entire business class must have taken 40 minutes. The food was served and it was beautifully plated. I can't say the food tasted better than any other overseas carrier I've flown in business class. The onboard chef seemed like it was all a show and I could not really see how he was a chef. He took our order (chefs don't usually do this) and made sure the plates looked nice. I think that is the extent of it and I don't really see any exotic or added value to this.During the whole meal, my drinks went dry for 10 or more minutes at a time. I have flown many carriers in business class and I have never had to ask or get up to ask for more wine with my meal. The crew in the business cabin were simply not friendly nor attentive. I also experienced the Turkish Airlines lounge in Istanbul during my connection. It is tired looking and circus like atmosphere. I qualified for the use of a resting suite. The attendant informed me she would come by to let me know when I could shower. I was there 3 hours, and she never came.",A330 / A321,Business,Business Class,Montreal to Berlin via Istanbul,Feb-19,4,1,3,3,1,1,no
